Steps,array0
1,119
2,119
3,119
4,119
5,119
6,119
7,119
8,119
9,119
10,119
11,119
12,119
13,119
14,119
15,119
16,119
17,119
18,119
19,119
20,119
21,119
22,119
23,119
24,119
25,119
26,119
27,119
28,119
29,119
30,119
31,119
32,119
33,119
34,119
35,119
36,119
37,119
38,119
39,119
40,119
41,119
42,119
43,119
44,119
45,119
46,119
47,119
48,119
49,119
50,119
51,119
52,120
53,119
54,119
55,119
56,119
57,119
58,119
59,119
60,119
61,119
62,119
63,119
64,119
65,119
66,119
67,119
68,119
69,119
70,119
71,119
72,119
73,119
74,119
75,119
76,119
77,119
78,119
79,119
80,119
81,120
82,119
83,119
84,119
85,120
86,119
87,119
88,119
89,119
90,119
91,119
92,119
93,119
94,119
95,119
96,120
97,119
98,119
99,119
100,119
101,119
102,119
103,119
104,119
105,119
106,119
107,119
108,119
109,119
110,119
111,120
112,119
113,119
114,119
115,119
116,119
117,119
118,119
119,119
120,119
121,119
122,120
123,119
124,119
125,119
126,119
127,119
128,120
129,119
130,119
131,119
132,119
133,119
134,119
135,119
136,120
137,119
138,119
139,119
140,119
141,119
142,119
143,119
144,119
145,119
146,119
147,119
148,119
149,119
150,119
151,120
152,119
153,119
154,119
155,119
156,119
157,119
158,119
159,119
160,119
161,119
162,120
163,119
164,119
165,119
166,120
167,119
168,119
169,119
170,119
171,120
172,120
173,120
174,124
175,139
176,146
177,150
178,169
179,195
180,202
181,205
182,207
183,206
184,206
185,206
186,208
187,208
188,208
189,208
190,208
191,221
192,233
193,284
194,306
195,314
196,328
197,338
198,336
199,326
200,318
201,316
202,313
203,314
204,314
205,320
206,324
207,334
208,339
209,339
210,337
211,330
212,330
213,332
214,334
215,329
216,328
217,326
218,321
219,308
220,276
221,302
222,317
223,326
224,322
225,314
226,300
227,305
228,316
229,317
230,313
231,311
232,311
233,312
234,312
235,310
236,311
237,311
238,305
239,303
240,304
241,305
242,302
243,302
244,302
245,302
246,302
247,304
248,310
249,312
250,314
251,313
252,313
253,316
254,317
255,317
256,316
257,314
258,314
259,314
260,315
261,314
262,313
263,312
264,312
265,312
266,311
267,309
268,309
269,310
270,309
271,308
272,306
273,306
274,306
275,307
276,307
277,307
278,306
279,304
280,303
281,300
282,303
283,305
284,307
285,304
286,304
287,305
288,306
289,305
290,306
291,307
292,307
293,308
294,308
295,308
296,308
297,308
298,308
299,308
300,309
301,309
302,310
303,309
304,309
305,309
306,309
307,309
308,308
309,309
310,309
311,309
312,309
313,309
314,310
315,312
316,312
317,311
318,312
319,312
320,310
321,309
322,309
323,309
324,310
325,311
326,310
327,310
328,310
329,311
330,311
331,311
332,311
333,311
334,311
335,311
336,311
337,311
338,311
339,311
340,311
341,311
342,311
343,309
344,308
345,309
346,309
347,309
348,307
349,307
350,305
351,306
352,307
353,307
354,308
355,309
356,309
357,308
358,308
359,308
360,308
361,307
362,306
363,306
364,306
365,306
366,305
367,305
368,305
369,305
370,305
371,305
372,304
373,304
374,306
375,306
376,305
377,305
378,306
379,306
380,306
381,306
382,306
383,306
384,306
385,305
386,306
387,306
388,304
389,303
390,305
391,306
392,306
393,308
394,308
395,307
396,307
397,308
398,308
399,307
400,307
401,307
402,307
403,308
404,308
405,308
406,308
407,307
408,307
409,307
410,308
411,311
412,314
413,315
414,315
415,310
416,308
417,304
418,296
419,290
420,274
421,260
422,254
423,252
424,253
425,253
426,253
427,254
428,255
429,255
430,255
431,255
432,256
433,256
434,255
435,255
436,257
437,256
438,257
439,258
440,259
441,258
442,259
443,259
444,258
445,258
446,260
447,260
448,260
449,260
450,261
451,262
452,262
453,263
