Steps,array0
1,881
2,880
3,880
4,881
5,881
6,881
7,881
8,881
9,881
10,881
11,881
12,881
13,881
14,881
15,881
16,881
17,881
18,881
19,881
20,881
21,881
22,881
23,881
24,881
25,881
26,881
27,881
28,881
29,881
30,882
31,881
32,881
33,881
34,882
35,881
36,881
37,881
38,881
39,881
40,881
41,881
42,881
43,882
44,881
45,882
46,882
47,881
48,881
49,882
50,882
51,881
52,881
53,881
54,881
55,881
56,882
57,881
58,881
59,881
60,882
61,882
62,882
63,882
64,881
65,881
66,882
67,882
68,881
69,881
70,882
71,881
72,882
73,882
74,881
75,881
76,881
77,881
78,881
79,881
80,882
81,882
82,881
83,881
84,881
85,882
86,881
87,882
88,882
89,882
90,882
91,882
92,882
93,881
94,882
95,881
96,881
97,881
98,881
99,881
100,882
101,882
102,882
103,882
104,881
105,882
106,881
107,882
108,881
109,881
110,881
111,882
112,882
113,881
114,881
115,881
116,881
117,881
118,881
119,881
120,881
121,881
122,881
123,881
124,881
125,881
126,881
127,881
128,881
129,881
130,881
131,881
132,881
133,881
134,881
135,881
136,881
137,881
138,881
139,881
140,881
141,881
142,881
143,881
144,881
145,880
146,875
147,877
148,878
149,859
150,857
151,855
152,854
153,854
154,853
155,850
156,842
157,839
158,833
159,828
160,824
161,822
162,821
163,818
164,815
165,810
166,809
167,805
168,800
169,798
170,795
171,792
172,790
173,789
174,788
175,789
176,788
177,786
178,785
179,784
180,784
181,783
182,781
183,778
184,777
185,772
186,770
187,767
188,764
189,762
190,761
191,761
192,760
193,760
194,759
195,758
196,755
197,753
198,754
199,756
200,757
201,757
202,757
203,756
204,756
205,756
206,756
207,756
208,756
209,757
210,759
211,760
212,761
213,761
214,760
215,760
216,758
217,757
218,755
219,752
220,751
221,750
222,747
223,747
224,746
225,745
226,745
227,743
228,741
229,740
230,740
231,742
232,743
233,744
234,746
235,748
236,749
237,749
238,749
239,748
240,746
241,741
242,724
243,708
244,702
245,691
246,684
247,681
248,678
249,674
250,673
251,671
252,669
253,668
254,667
255,666
256,666
257,665
258,664
259,664
260,664
261,664
262,664
263,664
264,665
265,666
266,667
267,668
268,669
269,671
270,672
271,673
272,672
273,671
274,669
275,666
276,665
277,664
278,661
279,660
280,660
281,660
282,661
283,661
284,662
285,662
286,662
287,662
288,661
289,660
290,660
291,660
292,659
293,657
294,656
295,655
296,655
297,656
298,656
299,658
300,659
301,660
302,663
303,667
304,669
305,671
306,678
307,719
308,775
309,807
310,822
311,866
312,868
313,869
314,878
315,880
316,881
317,881
318,881
319,881
320,881
321,882
322,881
323,882
324,882
325,882
326,881
327,882
328,882
329,881
330,882
331,882
332,882
333,882
334,882
335,882
336,881
337,882
338,881
339,882
340,881
341,882
342,882
343,882
344,881
345,881
346,881
347,881
348,881
349,881
350,881
351,881
352,881
353,881
354,881
355,881
356,881
357,881
358,881
359,881
360,881
361,881
362,881
363,881
364,881
365,881
366,881
367,881
368,881
369,881
370,881
371,881
372,881
373,881
374,881
375,881
376,880
377,881
378,880
379,880
380,879
381,875
382,873
383,871
384,869
385,867
386,862
387,863
388,860
389,858
390,853
391,850
392,850
393,859
394,865
395,870
396,872
397,875
398,877
399,872
400,868
401,870
402,868
403,866
404,865
405,866
406,866
407,866
408,865
409,865
410,867
411,867
412,867
413,866
414,866
415,866
416,864
417,865
418,868
419,871
420,846
421,840
422,820
423,773
424,760
425,753
426,696
427,667
428,633
429,610
430,605
431,581
432,555
433,550
434,549
435,548
436,546
437,542
438,537
439,534
440,524
441,504
442,499
443,488
444,478
445,471
446,447
447,403
448,381
449,322
450,281
451,268
452,247
453,232
454,232
455,225
456,223
457,223
458,223
459,224
460,225
461,225
462,225
463,225
464,224
465,224
466,224
467,223
468,223
469,223
470,223
471,224
472,223
473,221
474,220
475,219
476,217
477,215
478,216
479,215
480,215
481,215
482,215
483,216
484,216
485,218
486,219
487,220
488,220
489,220
490,220
491,221
492,222
493,222
494,221
495,220
496,220
497,219
498,218
499,218
500,217
501,217
