Steps,array0
1,883
2,883
3,883
4,883
5,883
6,883
7,883
8,883
9,884
10,884
11,883
12,883
13,884
14,884
15,884
16,884
17,883
18,884
19,884
20,884
21,884
22,883
23,884
24,884
25,884
26,884
27,884
28,884
29,884
30,884
31,884
32,884
33,883
34,884
35,884
36,884
37,883
38,884
39,884
40,884
41,884
42,884
43,883
44,884
45,883
46,883
47,883
48,883
49,883
50,884
51,884
52,883
53,883
54,884
55,883
56,884
57,884
58,884
59,884
60,884
61,884
62,884
63,883
64,884
65,884
66,884
67,884
68,884
69,884
70,884
71,884
72,884
73,884
74,884
75,884
76,884
77,884
78,884
79,884
80,884
81,884
82,884
83,884
84,884
85,884
86,884
87,884
88,884
89,884
90,884
91,883
92,884
93,884
94,884
95,884
96,884
97,884
98,884
99,884
100,884
101,884
102,884
103,883
104,884
105,884
106,884
107,884
108,884
109,884
110,884
111,884
112,884
113,883
114,884
115,884
116,884
117,884
118,883
119,884
120,884
121,884
122,884
123,884
124,884
125,884
126,884
127,884
128,884
129,883
130,883
131,883
132,884
133,883
134,883
135,883
136,883
137,883
138,883
139,883
140,879
141,880
142,871
143,868
144,855
145,855
146,852
147,849
148,843
149,819
150,808
151,792
152,782
153,780
154,778
155,775
156,762
157,745
158,730
159,720
160,711
161,710
162,712
163,719
164,728
165,729
166,732
167,731
168,729
169,729
170,730
171,731
172,732
173,732
174,732
175,732
176,734
177,735
178,736
179,736
180,736
181,735
182,733
183,733
184,731
185,730
186,730
187,729
188,729
189,728
190,727
191,727
192,727
193,727
194,728
195,728
196,728
197,727
198,726
199,724
200,722
201,717
202,713
203,711
204,711
205,714
206,715
207,714
208,714
209,713
210,712
211,713
212,715
213,716
214,717
215,716
216,715
217,715
218,714
219,714
220,715
221,718
222,718
223,719
224,718
225,718
226,717
227,717
228,717
229,716
230,716
231,715
232,715
233,715
234,715
235,715
236,716
237,715
238,713
239,710
240,709
241,709
242,712
243,713
244,714
245,713
246,711
247,709
248,706
249,703
250,700
251,698
252,698
253,697
254,696
255,695
256,696
257,697
258,698
259,697
260,696
261,696
262,695
263,695
264,695
265,696
266,696
267,695
268,696
269,696
270,695
271,694
272,692
273,693
274,694
275,695
276,695
277,694
278,692
279,691
280,690
281,690
282,690
283,691
284,693
285,694
286,693
287,691
288,691
289,691
290,691
291,688
292,685
293,683
294,682
295,680
296,683
297,691
298,729
299,771
300,780
301,814
302,856
303,870
304,871
305,880
306,881
307,883
308,884
309,884
310,884
311,884
312,884
313,884
314,884
315,884
316,884
317,884
318,884
319,884
320,883
321,884
322,884
323,884
324,884
325,884
326,884
327,884
328,884
329,883
330,883
331,883
332,883
333,883
334,883
335,883
336,884
337,884
338,884
339,884
340,884
341,884
342,884
343,884
344,885
345,885
346,887
347,893
348,895
349,894
350,890
351,887
352,886
353,886
354,886
355,886
356,885
357,886
358,884
359,884
360,882
361,882
362,882
363,881
364,883
365,885
366,885
367,878
368,872
369,870
370,868
371,865
372,865
373,870
374,870
375,867
376,861
377,856
378,852
379,845
380,844
381,841
382,835
383,825
384,821
385,814
386,807
387,803
388,796
389,791
390,787
391,770
392,753
393,741
394,706
395,629
396,583
397,556
398,538
399,529
400,511
401,501
402,498
403,499
404,505
405,506
406,502
407,491
408,487
409,483
410,484
411,484
412,485
413,484
414,484
415,484
416,483
417,482
418,478
419,472
420,469
421,459
422,446
423,433
424,420
425,409
426,403
427,394
428,385
429,380
430,367
431,358
432,355
433,353
434,352
435,352
436,353
437,353
438,352
439,350
440,348
441,346
442,342
443,337
444,334
445,329
446,324
447,310
448,299
449,288
450,283
451,270
452,265
453,261
454,259
455,253
456,246
457,243
458,238
459,229
460,217
461,207
462,202
463,195
464,191
465,189
466,188
467,184
468,179
469,175
470,166
471,163
472,158
473,155
474,154
475,153
476,152
477,152
478,151
479,151
480,151
481,150
482,150
483,150
484,150
485,150
486,150
487,151
488,150
489,150
490,150
491,150
492,151
493,150
494,150
495,151
496,151
497,151
498,151
499,151
500,151
501,150
502,151
503,151
504,151
505,151
506,151
507,152
508,151
509,151
510,152
511,152
512,152
513,152
514,152
515,152
516,152
517,153
518,152
519,153
520,153
521,152
522,153
523,153
524,154
525,153
526,154
527,154
528,154
529,154
530,154
531,154
532,154
533,154
534,154
535,154
536,155
537,155
538,155
539,155
540,155
541,155
542,155
543,155
544,155
545,156
546,156
547,156
548,156
549,156
550,156
551,156
552,157
553,157
554,157
555,157
556,157
557,157
558,158
559,157
560,158
561,158
562,158
563,158
564,158
565,159
566,159
567,159
568,159
569,159
570,160
571,161
572,163
573,168
574,171
575,176
576,181
577,183
578,188
579,192
580,196
581,208
582,224
583,234
584,297
585,365
586,385
587,415
588,451
589,473
590,511
591,543
592,557
593,624
594,680
595,708
596,768
597,808
598,812
599,816
600,829
601,840
602,854
603,859
604,862
605,865
606,869
607,869
608,878
609,880
610,881
611,882
612,882
613,882
614,879
615,873
616,869
617,867
618,867
619,866
620,867
621,869
622,869
623,871
624,876
