Steps,array0
1,121
2,121
3,121
4,121
5,122
6,121
7,121
8,121
9,121
10,121
11,121
12,122
13,121
14,121
15,121
16,121
17,121
18,121
19,121
20,121
21,121
22,121
23,121
24,121
25,121
26,121
27,121
28,121
29,121
30,121
31,121
32,121
33,121
34,121
35,121
36,121
37,121
38,121
39,121
40,121
41,121
42,121
43,121
44,121
45,121
46,121
47,121
48,121
49,121
50,121
51,121
52,121
53,121
54,120
55,120
56,120
57,120
58,120
59,120
60,120
61,120
62,120
63,120
64,120
65,120
66,120
67,120
68,120
69,120
70,120
71,121
72,120
73,120
74,120
75,121
76,120
77,120
78,120
79,121
80,120
81,121
82,121
83,120
84,120
85,120
86,121
87,120
88,120
89,120
90,120
91,120
92,120
93,120
94,120
95,121
96,121
97,122
98,121
99,122
100,125
101,130
102,132
103,133
104,140
105,149
106,155
107,158
108,162
109,163
110,166
111,167
112,167
113,166
114,164
115,162
116,162
117,164
118,163
119,161
120,160
121,161
122,163
123,164
124,164
125,164
126,164
127,164
128,165
129,165
130,165
131,165
132,165
133,165
134,166
135,166
136,166
137,166
138,167
139,167
140,167
141,168
142,168
143,168
144,168
145,168
146,170
147,174
148,175
149,176
150,176
151,177
152,177
153,178
154,178
155,179
156,179
157,179
158,179
159,179
160,180
161,179
162,177
163,177
164,178
165,179
166,180
167,185
168,188
169,188
170,187
171,190
172,203
173,213
174,244
175,248
176,241
177,226
178,212
179,206
180,199
181,197
182,197
183,196
184,198
185,200
186,204
187,208
188,210
189,215
190,220
191,223
192,226
193,225
194,223
195,223
196,229
197,230
198,232
199,232
200,232
201,234
202,234
203,233
204,231
205,228
206,228
207,227
208,227
209,226
210,224
211,223
212,223
213,223
214,224
215,224
216,225
217,224
218,224
219,227
220,228
221,228
222,228
223,228
224,228
225,227
226,227
227,226
228,226
229,226
230,226
231,226
232,225
233,224
234,223
235,223
236,223
237,224
238,225
239,226
240,227
241,228
242,228
243,227
244,227
245,227
246,227
247,227
248,227
249,228
250,228
251,227
252,228
253,227
254,227
255,227
256,227
257,227
258,227
259,226
260,226
261,226
262,226
263,226
264,227
265,227
266,227
267,228
268,229
269,229
270,228
271,228
272,228
273,228
274,228
275,228
276,228
