Steps,array0
1,329
2,330
3,330
4,381
5,318
6,329
7,330
8,329
9,329
10,329
11,330
12,329
13,329
14,330
15,329
16,328
17,330
18,330
19,329
20,329
21,329
22,329
23,330
24,334
25,330
26,329
27,329
28,329
29,329
30,328
31,318
32,330
33,330
34,329
35,329
36,328
37,374
38,320
39,330
40,330
41,329
42,328
43,330
44,319
45,329
46,330
47,329
48,329
49,330
50,329
51,320
52,329
53,329
54,330
55,330
56,328
57,375
58,330
59,330
60,330
61,329
62,330
63,381
64,328
65,330
66,329
67,329
68,329
69,330
70,330
71,328
72,329
73,329
74,329
75,329
76,330
77,330
78,329
79,329
80,329
81,328
82,329
83,330
84,329
85,329
86,329
87,329
88,329
89,329
90,374
91,330
92,330
93,329
94,329
95,328
96,381
97,329
98,330
99,329
100,329
101,328
102,329
103,375
104,330
105,330
106,329
107,329
108,329
109,382
110,328
111,330
112,329
113,330
114,329
115,328
116,375
117,329
118,330
119,329
120,329
121,329
122,381
123,329
124,329
125,329
126,329
127,328
128,330
129,330
130,330
131,329
132,329
133,329
134,329
135,330
136,374
137,329
138,329
139,329
140,329
141,328
142,381
143,329
144,330
145,330
146,329
147,329
148,330
149,374
150,330
151,330
152,330
153,329
154,329
155,375
156,329
157,330
158,329
159,329
160,330
161,328
162,375
163,328
164,329
165,330
166,330
167,330
168,382
169,318
