Steps,array0
1,118
2,118
3,117
4,117
5,119
6,112
7,117
8,118
9,118
10,118
11,156
12,117
13,117
14,113
15,113
16,114
17,96
18,117
19,113
20,113
21,113
22,156
23,113
24,118
25,116
26,117
27,177
28,113
29,113
30,113
31,114
32,114
33,159
34,113
35,113
36,113
37,113
38,118
39,116
40,117
41,113
42,113
43,117
44,130
45,114
46,118
47,113
48,113
49,175
50,117
51,114
52,114
53,113
54,113
55,152
56,113
57,113
58,113
59,118
60,177
61,113
62,117
63,117
64,113
65,113
66,159
67,114
68,114
69,113
70,113
71,157
72,112
73,113
74,114
75,113
76,112
77,89
78,113
79,113
80,113
81,113
82,159
83,110
84,114
85,113
86,113
87,109
88,152
89,113
90,113
91,109
92,108
93,173
94,113
95,113
96,113
97,113
98,112
99,113
100,113
101,113
102,109
103,109
104,110
105,110
106,114
107,114
108,109
109,109
110,134
111,110
112,109
113,109
114,109
115,110
116,84
117,109
118,109
119,109
120,111
121,113
122,113
123,109
124,109
125,109
126,110
127,147
128,110
129,109
130,109
131,108
132,85
133,110
134,113
135,109
136,110
137,109
138,85
139,109
140,109
141,109
142,110
143,109
