Steps,array0
1,59
2,87
3,59
4,59
5,59
6,59
7,58
8,64
9,63
10,59
11,59
12,59
13,59
14,111
15,60
16,59
17,59
18,59
19,95
20,81
21,59
22,59
23,58
24,59
25,32
26,59
27,59
28,59
29,60
30,60
31,87
32,63
33,59
34,59
35,59
36,60
37,60
38,59
39,59
40,63
41,63
42,63
43,56
44,59
45,59
46,59
47,59
48,87
49,59
50,60
51,59
52,59
53,59
54,87
55,59
56,59
57,59
58,59
59,59
60,36
61,59
62,59
63,59
64,59
65,60
66,60
67,60
68,59
69,63
70,59
71,111
72,56
73,60
74,59
75,63
76,59
77,86
78,63
79,59
80,59
81,59
82,111
83,87
84,59
85,63
86,63
87,60
88,60
89,63
90,63
91,59
92,59
93,59
94,64
95,60
96,59
97,63
98,59
99,59
100,87
101,60
102,60
103,59
104,59
105,59
106,32
107,59
108,59
109,60
110,60
111,59
112,32
113,59
114,59
115,59
116,59
117,111
118,59
119,59
120,59
121,59
122,59
123,115
124,60
125,59
126,59
127,59
128,58
129,86
130,59
131,60
132,59
133,59
134,59
135,87
136,63
137,59
138,59
139,58
140,95
141,59
142,59
143,59
144,59
145,59
146,60
147,32
148,59
149,59
150,59
151,59
152,32
153,59
154,59
155,59
156,59
157,59
158,86
159,59
