Steps,array0
1,288
2,288
3,288
4,288
5,288
6,288
7,288
8,288
9,288
10,288
11,288
12,288
13,288
14,288
15,288
16,288
17,288
18,288
19,288
20,288
21,288
22,288
23,288
24,288
25,288
26,288
27,288
28,288
29,288
30,288
31,288
32,288
33,296
34,318
35,353
36,392
37,424
38,454
39,478
40,498
41,511
42,522
43,528
44,528
45,528
46,522
47,497
48,459
49,415
50,375
51,338
52,303
53,262
54,236
55,218
56,205
57,202
58,201
59,201
60,205
61,217
62,237
63,271
64,301
65,332
66,359
67,384
68,408
69,431
70,454
71,472
72,488
73,498
74,504
75,505
76,505
77,505
78,505
79,502
80,492
81,475
82,455
83,432
84,401
85,375
86,348
87,323
88,295
89,265
90,240
91,219
92,205
93,195
94,191
95,190
96,190
97,191
98,197
99,209
100,224
101,240
102,258
103,277
104,299
105,331
106,359
107,389
108,414
109,437
110,454
111,468
112,481
113,491
114,498
115,500
116,502
117,502
118,501
119,495
120,484
121,459
122,436
123,415
124,392
125,360
126,334
127,309
128,282
129,260
130,242
131,226
132,209
133,198
134,188
135,182
136,177
137,177
138,177
139,178
140,180
141,188
142,202
143,220
144,242
145,266
146,304
147,337
148,361
149,395
150,418
151,437
152,450
153,459
154,463
155,464
156,464
157,464
158,464
159,464
160,463
161,457
162,442
163,420
164,394
165,371
166,353
167,337
168,327
169,319
170,312
171,309
172,308
173,308
174,308
175,308
176,308
177,308
178,308
179,308
180,308
181,309
182,309
183,310
184,310
185,311
186,311
187,311
188,312
189,312
190,314
191,318
192,323
193,328
194,335
195,342
196,347
197,349
198,349
199,349
200,349
201,348
202,346
203,345
204,341
205,335
206,328
207,321
208,317
209,316
210,316
211,316
212,316
213,316
214,316
215,316
216,316
217,316
218,316
219,316
220,316
221,316
222,316
223,316
224,316
225,316
226,316
227,316
228,316
229,316
230,316
231,316
232,316
233,316
234,316
235,316
236,316
237,316
238,316
239,316
240,316
241,316
242,316
243,316
244,316
245,316
246,316
247,316
248,316
249,316
250,316
251,316
252,316
253,316
254,316
255,316
256,316
257,316
258,316
259,316
260,316
261,316
262,316
263,316
264,316
265,316
