Steps,array0
1,571
2,573
3,570
4,573
5,572
6,574
7,573
8,572
9,573
10,572
11,573
12,572
13,573
14,575
15,573
16,572
17,574
18,573
19,575
20,573
21,574
22,575
23,575
24,575
25,575
26,577
27,575
28,576
29,577
30,576
31,577
32,576
33,576
34,576
35,580
36,576
37,578
38,578
39,577
40,578
41,578
42,576
43,576
44,577
45,577
46,576
47,578
48,578
49,575
50,577
51,577
52,576
53,576
54,577
55,579
56,576
57,575
58,579
59,577
60,577
61,578
62,580
63,578
64,579
65,579
66,579
67,580
68,579
69,579
70,581
71,579
72,580
73,580
74,577
75,579
76,579
77,580
78,579
79,580
80,580
81,580
82,579
83,580
84,582
85,579
86,580
87,582
88,581
89,582
90,580
91,581
92,582
93,579
94,581
95,581
96,581
97,582
98,580
99,580
100,582
101,581
102,585
103,580
104,581
105,581
106,581
107,581
108,581
109,581
110,581
111,582
112,579
113,583
114,584
115,582
116,583
117,583
118,582
119,583
120,582
121,580
122,582
123,582
124,582
125,581
126,581
127,583
128,577
129,581
130,583
131,579
132,580
133,582
134,580
135,583
136,584
137,580
138,583
139,583
140,581
141,584
142,585
143,582
144,584
145,583
146,584
147,585
148,581
149,586
150,581
151,582
152,585
153,583
154,582
155,585
156,585
157,583
158,585
159,585
160,583
