Steps,array0,array1,array2
1,502,515,738
2,500,516,738
3,501,516,738
4,498,514,738
5,499,515,738
6,499,514,739
7,499,515,738
8,501,515,738
9,499,515,737
10,498,515,739
11,498,515,738
12,498,515,738
13,499,515,738
14,499,515,737
15,499,516,738
16,499,515,739
17,498,515,738
18,499,515,739
19,499,515,738
20,498,515,739
21,498,515,738
22,499,515,739
23,498,515,738
24,498,516,739
25,499,516,737
26,498,515,737
27,498,515,739
28,499,515,737
29,498,515,738
30,498,516,738
31,498,515,739
32,498,515,738
33,498,514,739
34,498,515,739
35,497,515,738
36,499,515,739
37,498,515,738
38,498,515,739
39,498,515,737
40,499,515,738
41,498,515,738
42,498,515,739
43,493,515,738
44,490,517,747
45,501,515,737
46,500,516,740
47,500,517,738
48,501,515,739
49,502,515,739
50,502,516,737
51,502,515,738
52,501,515,739
53,501,515,738
54,501,515,739
55,503,515,739
56,502,515,739
57,504,515,736
58,499,518,743
59,505,511,741
60,502,515,747
61,505,515,751
62,510,514,747
63,522,514,737
64,533,515,729
65,540,516,729
66,549,516,734
67,552,515,730
68,559,516,729
69,564,514,736
70,562,520,698
71,579,516,722
72,581,514,731
73,585,519,724
74,593,518,719
75,600,516,717
76,607,517,714
77,614,514,708
78,617,517,707
79,619,515,709
80,623,516,704
81,628,515,705
82,633,514,702
83,639,517,697
84,642,515,694
85,650,515,686
86,655,516,682
87,658,514,679
88,665,513,670
89,669,513,668
90,679,508,662
91,679,518,655
92,681,511,655
93,681,522,651
94,691,518,639
95,693,511,640
96,695,514,636
97,699,511,621
98,702,513,624
99,702,513,621
100,702,512,619
101,703,514,619
102,710,506,613
103,708,512,614
104,710,510,601
105,710,516,603
106,714,517,593
107,710,512,601
108,713,512,596
109,714,513,584
110,717,513,577
111,717,515,577
112,717,513,576
113,717,514,572
114,718,514,566
115,720,513,557
116,720,514,542
117,721,516,541
118,718,518,551
119,722,512,542
120,720,512,547
121,720,512,544
122,720,513,546
123,720,513,546
124,724,513,531
125,723,513,542
126,710,519,567
127,723,515,544
128,722,511,543
129,720,512,547
130,720,514,543
131,721,512,542
132,725,506,539
133,722,513,537
134,721,512,540
135,721,512,543
136,720,513,550
137,722,510,537
138,721,513,535
139,721,513,538
140,722,513,539
141,721,513,542
142,721,512,546
143,720,516,545
144,722,514,540
145,721,513,540
146,720,512,545
147,721,512,545
148,721,513,541
149,721,512,543
150,721,512,543
151,722,513,540
152,721,512,545
153,721,513,545
154,720,513,548
155,721,512,544
156,721,513,545
157,721,513,545
158,720,513,545
159,720,513,543
160,720,512,543
161,721,512,541
162,721,512,542
163,720,513,545
164,722,513,544
165,721,513,544
166,721,512,542
167,721,512,543
168,720,513,542
169,722,513,544
