Steps,array0,array1,array2
1,501,516,738
2,500,515,738
3,500,516,738
4,500,516,739
5,500,516,738
6,500,515,738
7,500,515,738
8,499,515,739
9,500,516,739
10,500,515,739
11,500,515,738
12,500,515,738
13,500,516,738
14,500,516,738
15,500,516,738
16,503,517,751
17,497,515,739
18,498,515,737
19,498,515,737
20,499,516,738
21,500,513,740
22,502,515,738
23,502,517,737
24,501,514,738
25,496,515,738
26,492,517,740
27,502,515,739
28,501,515,738
29,499,516,739
30,498,517,738
31,500,515,737
32,501,513,739
33,500,517,738
34,500,516,737
35,500,517,738
36,500,517,738
37,500,510,744
38,500,514,741
39,503,520,737
40,500,517,739
41,498,515,743
42,500,519,744
43,498,530,745
44,505,530,742
45,503,541,736
46,505,537,737
47,502,540,734
48,500,558,738
49,493,561,728
50,493,568,728
51,498,583,729
52,499,590,719
53,499,591,712
54,498,596,719
55,503,607,721
56,490,598,698
57,520,631,737
58,500,613,716
59,501,622,715
60,501,621,709
61,504,624,703
62,490,630,710
63,501,638,700
64,500,646,695
65,503,644,693
66,498,653,694
67,507,662,672
68,501,662,670
69,498,666,677
70,502,659,662
71,494,683,665
72,500,684,659
73,499,687,653
74,501,693,646
75,502,697,640
76,499,699,639
77,499,697,646
78,501,701,632
79,501,709,617
80,508,710,610
81,498,709,616
82,504,719,590
83,497,718,597
84,497,716,604
85,500,715,603
86,499,715,602
87,499,724,568
88,501,724,572
89,501,723,564
90,501,724,567
91,501,723,570
92,502,722,571
93,502,726,561
94,502,722,563
95,499,725,555
96,493,732,547
97,501,726,546
98,503,711,551
99,499,732,545
100,508,720,549
101,494,724,555
102,493,725,527
103,522,724,534
104,501,726,531
105,504,727,534
106,501,722,547
107,502,726,539
108,501,725,540
109,501,726,536
110,499,725,543
111,502,725,535
112,502,710,531
113,499,732,540
114,500,726,537
115,503,729,537
116,500,724,545
117,501,727,547
118,504,722,546
119,501,724,546
120,503,724,547
121,499,728,543
122,497,728,543
123,497,727,542
124,502,725,543
125,500,725,543
126,502,726,541
127,502,726,538
128,501,726,540
129,501,726,540
130,502,724,533
131,492,725,541
132,600,936,445
133,502,726,543
134,500,726,544
135,501,725,544
136,502,726,540
137,502,726,539
138,501,726,537
139,502,726,534
140,502,726,536
141,502,726,536
142,502,725,538
143,502,726,537
144,501,725,536
145,502,726,538
146,501,726,537
147,501,725,539
148,502,726,535
149,502,726,534
150,502,726,533
151,502,726,535
152,503,725,536
