Steps,array0,array1,array2
1,499,515,737
2,499,515,738
3,499,516,739
4,499,515,738
5,499,515,738
6,500,516,738
7,499,516,738
8,499,516,738
9,498,515,738
10,499,515,738
11,499,515,738
12,499,516,737
13,497,515,738
14,500,517,739
15,499,515,737
16,499,515,737
17,500,516,737
18,499,515,739
19,498,515,739
20,513,516,745
21,498,515,739
22,495,513,735
23,502,517,739
24,502,516,740
25,498,516,738
26,498,515,738
27,498,515,738
28,498,515,738
29,499,515,738
30,499,516,739
31,525,515,738
32,499,510,743
33,486,518,742
34,494,515,736
35,502,571,733
36,498,500,740
37,500,515,740
38,500,526,739
39,495,491,737
40,493,498,738
41,501,514,738
42,501,516,738
43,499,521,738
44,501,510,738
45,501,514,739
46,500,513,739
47,498,516,738
48,504,518,738
49,500,511,736
50,508,512,738
51,500,510,738
52,501,510,739
53,504,516,737
54,495,516,742
55,505,516,740
56,505,519,738
57,499,505,734
58,501,517,735
59,507,521,743
60,505,526,744
61,505,526,743
62,506,532,738
63,509,536,742
64,504,537,738
65,505,541,735
66,503,553,735
67,508,559,738
68,501,577,750
69,496,566,729
70,472,576,728
71,472,577,715
72,474,583,713
73,480,597,714
74,480,608,715
75,484,613,720
76,492,628,721
77,491,629,722
78,496,651,705
79,496,651,697
80,506,679,680
81,501,675,658
82,501,675,655
83,503,673,655
84,505,689,632
85,503,688,638
86,493,698,627
87,493,699,616
88,464,701,624
89,520,725,612
90,495,706,585
91,466,706,594
92,495,736,583
93,514,748,579
94,493,725,569
95,498,726,568
96,518,712,557
97,516,718,553
98,506,724,561
99,512,734,554
100,531,717,544
101,524,718,547
102,527,726,542
103,547,722,531
104,553,727,521
105,543,723,514
106,537,717,486
107,548,725,473
108,562,713,463
109,538,716,455
110,521,705,444
111,541,704,435
112,523,692,440
113,526,651,406
114,521,663,413
115,516,671,415
116,509,674,401
117,542,667,382
118,527,642,400
119,538,633,373
120,542,627,378
121,535,608,379
122,507,606,375
123,518,605,345
124,511,540,375
125,502,552,368
126,506,529,353
127,556,569,351
128,541,553,366
129,530,534,355
130,561,533,364
131,532,511,369
132,541,520,343
133,539,518,355
134,529,518,346
135,531,513,357
136,528,521,336
137,527,519,345
138,535,515,350
139,526,513,336
140,526,511,346
141,522,503,352
142,518,506,345
143,524,518,341
144,524,511,349
145,527,516,350
146,526,511,358
147,530,508,356
148,524,505,354
149,520,510,359
150,555,519,356
151,533,498,343
152,527,495,346
153,525,503,347
154,520,508,346
155,524,504,351
156,520,502,348
157,523,502,349
158,526,499,349
159,514,516,350
160,516,503,352
161,516,506,348
162,514,489,346
163,503,499,332
164,506,486,337
165,506,487,338
166,503,490,346
167,506,496,352
168,506,500,348
169,503,501,342
170,503,505,349
171,506,505,352
172,506,507,345
173,505,503,346
174,506,506,345
175,506,506,348
176,506,507,347
177,506,506,346
178,506,506,347
179,506,506,346
180,504,506,346
181,506,506,347
182,504,506,348
183,505,506,346
184,506,506,348
185,505,506,346
186,505,506,345
187,505,506,347
188,505,506,346
189,505,506,345
190,505,506,347
191,505,506,347
192,505,507,347
193,506,507,346
194,505,506,347
195,505,506,347
196,506,506,346
197,505,506,346
198,505,506,347
199,504,506,346
200,505,506,346
201,505,506,346
202,505,505,347
203,505,506,346
204,505,507,346
205,505,506,346
206,506,506,346
207,505,506,347
208,506,506,346
209,505,506,346
210,505,506,345
211,505,505,346
212,505,506,345
213,505,506,347
214,505,506,346
215,504,506,346
216,505,506,347
217,505,506,347
218,506,506,346
219,505,507,344
220,505,506,347
221,505,506,346
222,505,507,347
223,505,507,346
224,506,506,347
225,505,506,347
226,505,506,346
227,505,506,346
