Steps,array0,array1,array2
1,498,515,738
2,499,515,738
3,499,515,737
4,499,516,738
5,499,516,738
6,499,515,738
7,499,515,739
8,499,515,738
9,499,515,738
10,499,515,737
11,499,515,738
12,499,515,738
13,499,515,738
14,499,515,738
15,498,515,738
16,499,515,738
17,499,515,739
18,499,514,738
19,499,515,739
20,499,515,738
21,499,515,738
22,498,515,739
23,499,516,739
24,499,515,738
25,499,515,738
26,499,515,738
27,499,515,739
28,499,515,738
29,498,515,738
30,499,515,738
31,499,515,739
32,499,514,738
33,499,515,739
34,498,515,737
35,499,516,739
36,500,515,738
37,499,514,738
38,499,514,738
39,499,515,738
40,499,515,739
41,499,515,737
42,499,514,739
43,499,515,738
44,499,515,739
45,499,515,738
46,498,515,737
47,499,515,738
48,498,514,738
49,499,515,739
50,499,515,739
51,499,515,738
52,499,515,740
53,499,515,738
54,498,515,738
55,499,515,738
56,499,515,738
57,500,514,738
58,499,515,739
59,499,515,738
60,499,514,738
61,499,515,739
62,499,515,738
63,498,514,738
64,498,515,738
65,499,515,738
66,499,515,738
67,499,515,738
68,498,515,738
69,499,515,738
70,499,516,738
71,499,515,738
72,499,516,738
73,499,515,738
74,499,515,738
75,499,515,738
76,498,515,739
77,499,515,738
78,499,515,738
79,499,515,738
80,499,515,738
81,499,515,739
82,499,515,739
83,499,515,738
84,499,515,736
85,499,515,738
86,499,515,737
87,499,515,738
88,499,516,738
89,499,515,738
90,500,514,737
91,499,515,738
92,498,515,738
93,499,515,738
94,499,515,738
95,499,515,738
96,498,515,739
97,499,515,738
98,500,514,739
99,499,516,738
100,499,515,738
101,499,515,738
102,499,515,739
103,499,515,738
104,498,515,738
105,499,514,739
106,499,515,737
107,499,515,738
108,499,515,738
109,499,514,738
110,499,514,738
111,500,515,738
112,500,515,739
113,498,515,738
114,499,515,739
115,499,516,739
116,499,515,737
117,498,515,737
118,499,515,738
119,499,516,738
120,500,515,738
121,499,516,738
122,498,515,738
123,499,516,738
124,499,515,738
125,499,515,738
126,499,515,738
127,499,515,738
128,499,515,737
129,498,515,739
130,498,515,740
131,499,515,739
132,499,515,738
133,499,515,738
134,499,515,739
135,499,515,738
136,499,515,737
137,499,515,739
