Steps,array0,array1,array2
1,487,517,738
2,488,516,739
3,489,518,736
4,488,516,736
5,488,516,740
6,486,520,738
7,488,518,739
8,488,516,739
9,490,515,738
10,489,519,739
11,487,519,737
12,485,518,738
13,489,518,738
14,489,518,737
15,492,515,738
16,489,516,737
17,490,514,739
18,487,516,738
19,488,517,738
20,489,518,738
21,490,517,738
22,489,515,739
23,490,517,740
24,492,518,739
25,493,518,741
26,489,516,742
27,491,512,745
28,487,509,744
29,490,517,736
30,484,521,729
31,487,520,733
32,487,520,735
33,485,517,742
34,483,514,743
35,482,515,741
36,487,522,731
37,489,521,732
38,490,515,739
39,493,513,739
40,491,516,739
41,491,516,740
42,488,513,744
43,495,514,738
44,495,515,739
45,494,519,735
46,486,519,735
47,490,515,741
48,458,515,738
49,501,517,746
50,498,516,734
51,497,521,739
52,499,514,741
53,500,516,741
54,496,523,736
55,492,519,741
56,504,513,740
57,511,510,748
58,498,524,734
59,429,551,728
60,478,503,754
61,480,524,740
62,498,534,726
63,488,524,742
64,490,517,720
65,481,525,704
66,485,516,758
67,496,519,752
68,514,515,751
69,544,540,757
70,492,520,727
71,481,531,722
72,471,527,724
73,480,526,734
74,467,521,727
75,496,544,722
76,452,530,730
77,484,521,738
78,468,536,730
79,491,558,742
80,496,566,744
81,483,552,732
82,518,549,760
83,501,549,744
84,496,566,714
85,490,540,730
86,479,545,740
87,499,538,731
88,486,544,729
89,484,541,731
90,491,538,736
91,495,540,742
92,495,546,734
93,495,545,743
94,492,537,744
95,493,543,743
96,493,535,741
97,558,846,881
98,560,1008,908
99,444,1008,203
100,754,11,1007
101,729,10,1007
102,356,255,634
103,591,428,609
104,566,503,661
105,481,490,692
106,502,516,746
107,486,540,740
108,464,530,710
109,483,522,767
110,490,530,751
111,479,527,752
112,478,532,755
113,498,531,759
114,499,525,766
115,505,522,742
116,507,520,743
117,503,520,735
118,503,520,726
119,494,514,741
120,493,517,735
121,490,517,741
122,485,518,737
123,484,516,741
124,488,518,738
125,495,516,738
126,492,517,737
127,489,515,738
128,487,517,738
129,495,517,741
130,489,513,742
131,493,516,741
132,486,514,734
133,497,509,738
134,492,495,748
135,488,493,754
136,491,484,752
137,482,484,726
138,487,489,729
139,482,499,727
140,483,496,726
141,479,496,728
142,487,499,742
143,478,501,742
144,488,512,737
145,492,519,729
146,483,516,741
147,498,522,738
148,478,528,742
149,504,524,738
150,493,522,724
151,490,525,746
152,490,526,739
153,490,526,739
154,497,523,725
155,490,536,744
156,502,534,733
157,479,520,743
158,486,527,742
159,488,536,726
160,489,524,745
161,499,539,737
162,486,522,729
163,472,531,744
164,492,525,745
165,493,524,747
166,485,527,736
167,491,529,744
168,497,521,745
169,485,521,747
170,491,527,731
171,480,526,732
172,482,534,726
173,488,528,733
174,478,528,727
175,478,528,736
176,479,526,746
177,483,520,739
178,492,527,739
179,485,527,741
180,486,525,743
181,474,527,737
182,490,528,738
183,488,535,724
184,502,592,724
185,484,533,748
186,487,525,737
187,480,528,738
188,484,529,739
189,488,528,744
190,485,534,737
191,480,534,736
192,481,533,736
193,482,535,735
194,503,533,734
195,481,528,735
196,482,532,737
197,477,538,735
198,481,536,739
199,494,531,729
200,486,522,739
201,474,534,744
202,479,529,735
203,479,522,742
204,481,518,741
205,482,509,740
206,438,743,842
207,572,1008,304
208,340,1008,13
209,529,10,1008
210,400,284,665
211,559,512,443
212,475,556,528
213,530,464,680
214,495,459,767
215,493,536,668
216,486,503,688
217,476,513,726
218,484,513,743
219,491,505,769
220,492,510,775
221,502,515,745
222,504,512,738
223,515,509,733
224,507,504,743
225,515,499,743
226,496,507,742
227,501,493,751
228,496,507,738
229,496,504,744
230,505,506,749
231,501,501,746
232,504,496,748
233,501,506,725
234,502,497,737
235,498,505,736
236,501,503,739
237,499,499,741
238,498,503,741
239,493,484,735
240,515,463,748
241,497,512,759
242,449,508,730
243,505,488,735
244,501,489,728
245,496,523,720
246,516,512,722
247,521,503,742
248,523,502,744
249,514,514,738
250,499,518,732
251,508,512,743
252,498,513,736
253,492,513,736
254,493,510,738
255,494,516,738
256,504,507,749
257,498,510,736
258,504,507,733
259,504,506,735
260,496,508,731
