Steps,array0,array1,array2
1,501,515,739
2,501,515,738
3,501,515,738
4,501,515,739
5,500,516,738
6,500,515,738
7,501,515,737
8,501,515,738
9,500,516,739
10,501,515,738
11,501,515,739
12,501,515,738
13,500,515,739
14,506,523,731
15,500,516,737
16,500,515,739
17,500,516,738
18,501,516,738
19,501,516,738
20,500,516,739
21,501,516,738
22,501,516,737
23,501,515,738
24,501,516,738
25,501,516,738
26,500,515,737
27,501,516,738
28,501,516,737
29,501,515,737
30,500,515,738
31,500,516,738
32,501,515,738
33,500,515,738
34,501,516,739
35,501,515,739
36,501,516,738
37,501,516,738
38,501,515,738
39,500,515,737
40,501,516,738
41,501,515,739
42,501,515,738
43,500,515,737
44,501,515,737
45,500,516,738
46,501,516,737
47,500,515,738
48,501,516,738
49,501,515,738
50,501,516,738
51,500,515,739
52,500,516,738
53,500,515,738
54,501,516,738
55,501,516,738
56,500,516,738
57,501,515,738
58,500,515,738
59,500,515,738
60,501,516,739
61,500,515,738
62,500,515,738
63,500,515,737
64,501,515,738
65,500,516,737
66,501,516,738
67,500,516,737
68,501,516,738
69,500,515,737
70,501,516,738
71,500,515,738
72,501,515,739
73,501,516,738
74,500,515,739
75,501,516,737
76,501,515,738
77,500,516,738
78,500,516,736
79,500,515,737
80,501,515,736
81,501,516,737
82,500,515,738
83,500,515,739
84,500,515,737
85,501,516,738
86,500,515,739
87,500,515,738
88,501,515,738
89,500,516,739
90,501,515,739
91,500,516,739
92,500,515,737
93,500,516,739
94,500,516,739
95,501,516,737
96,501,516,738
97,500,515,738
98,501,515,738
99,501,515,737
100,500,516,737
101,501,515,739
102,501,515,738
103,500,515,737
104,500,515,738
105,501,516,738
106,500,516,738
107,500,515,738
108,500,516,738
109,500,516,738
110,500,515,738
111,501,516,738
112,500,516,738
113,501,515,737
114,501,516,737
115,500,516,738
116,501,516,738
117,501,515,738
118,501,515,737
119,500,516,738
120,500,516,738
121,501,516,739
122,500,515,738
123,501,515,737
124,501,515,739
125,501,516,739
126,501,515,738
127,500,516,737
128,500,515,738
129,500,516,738
130,500,515,738
131,501,516,738
132,500,515,738
133,501,516,738
134,500,516,738
135,501,516,738
136,501,516,738
137,501,516,738
138,501,515,737
139,500,515,738
140,499,516,738
141,501,515,739
142,501,515,738
143,500,516,738
144,501,515,738
145,500,516,737
146,501,516,738
147,501,515,738
148,501,515,738
149,501,515,739
150,500,516,738
151,501,515,737
152,501,516,738
153,501,516,737
154,501,516,738
155,501,515,737
156,500,515,738
157,500,516,739
158,501,516,738
159,500,515,739
160,500,516,738
161,500,516,739
162,501,515,737
163,500,515,738
164,501,516,738
165,500,516,738
166,500,516,738
167,501,516,738
168,500,515,739
169,500,515,738
170,500,515,738
171,501,516,738
172,501,515,738
173,501,515,738
174,501,516,738
175,501,516,737
176,501,516,737
177,501,516,736
178,500,516,738
179,501,516,739
180,500,516,738
181,501,515,737
182,501,516,737
183,501,516,738
184,501,515,738
185,500,515,736
186,500,516,739
187,501,515,739
188,500,516,738
189,500,515,738
190,500,515,737
191,500,515,738
192,501,516,737
193,501,515,738
194,500,516,739
195,501,515,737
196,501,516,738
197,501,515,738
198,500,517,738
199,501,516,739
200,500,515,737
201,500,516,738
202,501,516,738
203,501,516,738
204,500,515,738
205,500,516,737
206,501,516,738
207,500,515,738
208,498,483,738
209,501,525,739
210,502,515,739
211,502,515,739
212,497,517,738
213,504,514,739
214,501,515,737
215,500,516,738
216,501,515,739
217,500,516,738
218,501,516,738
219,500,516,737
220,500,516,737
221,501,515,738
222,500,515,738
223,500,515,737
224,501,516,738
225,501,515,737
226,501,516,738
227,501,515,739
228,500,516,740
229,501,517,730
230,501,516,739
231,501,515,737
232,500,516,738
233,502,515,739
234,500,514,740
235,502,516,738
236,500,515,739
237,501,515,738
238,500,515,738
239,502,516,737
240,506,518,727
241,501,517,738
242,502,515,739
243,502,515,737
244,502,515,738
245,502,515,735
246,505,515,737
247,501,520,739
248,500,517,738
249,502,514,738
250,503,513,739
251,502,515,738
252,498,521,739
253,497,514,738
254,530,517,735
255,506,514,743
256,509,507,739
257,506,513,745
258,507,514,741
259,520,503,733
260,520,511,735
261,513,519,742
262,517,512,745
263,522,513,730
264,516,521,751
265,521,522,746
266,525,519,747
267,543,512,734
268,555,515,719
269,558,515,723
270,566,516,729
271,573,514,723
272,575,515,725
273,577,515,722
274,583,515,727
275,585,513,721
276,585,517,727
277,590,515,724
278,594,515,721
279,597,518,722
280,604,516,715
281,605,517,713
282,611,512,710
283,626,515,698
284,626,516,699
285,632,515,703
286,635,510,700
287,640,506,701
288,644,515,692
289,655,516,682
290,658,514,680
291,666,515,674
292,676,505,664
293,677,509,658
294,681,511,654
295,692,513,636
296,671,516,646
297,698,514,625
298,700,516,624
299,702,515,620
300,710,510,619
301,709,513,601
302,710,513,599
303,714,513,590
304,716,513,585
305,716,514,578
306,719,516,575
307,719,512,576
308,718,512,575
309,718,510,577
310,717,515,566
311,717,512,572
312,719,510,567
313,721,515,557
314,720,512,562
315,721,513,549
316,722,513,554
317,725,511,555
318,738,531,526
319,722,513,543
320,721,511,547
321,721,512,545
322,720,512,544
323,721,513,541
324,721,512,543
325,721,512,544
326,721,512,544
327,721,513,541
328,721,512,544
329,721,511,542
330,720,511,544
331,721,512,533
332,722,510,533
333,722,512,536
334,720,512,539
335,720,512,539
336,721,513,540
337,721,513,541
338,721,513,539
339,720,513,542
340,722,513,540
341,721,512,542
342,721,513,540
343,720,512,541
344,721,513,540
345,721,513,542
346,720,513,541
347,720,512,540
348,721,513,539
349,721,512,540
350,721,512,539
351,721,513,540
352,721,512,540
353,721,512,541
354,721,512,540
355,720,513,540
356,717,511,540
357,722,513,541
358,720,512,540
359,720,512,541
360,721,512,541
361,722,514,541
362,721,513,540
363,720,512,541
364,721,513,540
365,722,513,544
366,722,512,541
367,720,512,541
368,720,512,543
369,720,512,543
370,722,512,540
371,720,513,540
372,720,512,542
373,720,512,543
374,722,512,538
375,720,513,543
376,721,513,543
377,721,513,541
378,721,512,541
379,721,513,540
380,721,512,540
381,721,512,541
382,722,512,541
383,721,514,544
384,721,512,542
385,722,513,540
386,720,515,542
387,720,514,544
388,722,510,542
389,717,515,541
390,721,508,546
391,722,511,539
392,720,512,543
393,722,513,540
394,731,499,547
395,721,518,529
396,708,336,427
397,713,513,570
398,727,506,524
399,725,514,523
400,722,513,530
401,716,512,561
402,717,507,566
403,718,514,552
404,723,518,523
405,720,512,547
406,721,510,546
407,719,512,548
408,719,512,548
409,721,515,548
410,723,510,544
411,712,534,535
412,734,533,555
413,723,503,568
414,713,519,576
415,717,510,586
416,718,504,584
417,712,519,587
418,711,518,590
419,710,512,602
420,705,511,608
421,689,509,633
422,712,521,643
423,701,530,658
424,693,516,639
425,743,550,640
426,676,489,638
427,672,520,673
428,669,516,672
429,672,514,668
430,661,511,679
431,657,509,686
432,657,516,681
433,651,505,685
434,646,513,682
435,644,516,686
436,638,517,701
437,630,514,696
438,620,520,702
439,617,519,710
440,604,506,709
441,598,517,731
442,595,516,719
443,588,507,718
444,580,511,724
445,572,499,724
446,560,501,734
447,567,507,725
448,547,501,751
449,545,501,741
450,547,512,740
451,550,507,732
452,550,508,731
453,543,503,731
454,537,511,730
455,531,492,732
456,523,500,742
457,520,505,734
458,529,514,724
459,518,513,742
460,522,517,723
461,498,498,761
462,509,506,719
463,504,511,716
464,650,648,817
465,494,536,722
466,500,517,738
467,501,515,738
468,501,514,738
469,500,515,738
470,501,515,738
471,497,518,735
472,500,515,738
473,500,516,738
474,500,515,738
475,500,516,738
476,501,515,738
477,500,515,738
478,500,516,738
479,500,516,737
480,500,516,738
481,501,516,738
482,500,516,738
483,500,516,738
484,500,515,738
485,500,515,738
486,501,515,738
487,500,515,738
488,500,516,739
489,500,515,737
490,500,516,738
491,500,515,738
492,501,515,738
493,500,515,738
494,501,516,738
495,500,516,738
496,500,515,739
497,500,515,738
498,500,515,737
499,500,515,738
500,500,515,738
501,501,516,738
502,500,516,738
503,500,515,738
504,500,515,739
505,500,516,738
506,500,516,738
507,500,515,738
508,500,516,738
509,500,515,739
510,500,516,739
511,500,515,738
512,500,516,738
513,500,515,739
514,500,515,738
515,500,515,739
516,500,516,738
517,500,516,738
518,500,515,738
519,500,516,738
520,500,516,738
521,501,516,739
522,500,515,738
523,499,516,738
524,500,515,738
525,500,516,738
526,501,516,738
527,500,516,739
528,500,515,739
529,500,516,738
530,500,515,738
531,500,516,737
532,501,516,738
533,500,516,738
534,500,515,738
535,500,516,737
536,500,516,738
537,500,516,738
538,500,515,739
539,500,515,737
540,500,516,739
541,500,516,738
542,500,516,737
543,500,515,738
544,500,515,738
545,500,515,738
546,500,515,738
547,500,515,737
548,500,516,737
549,501,515,738
550,501,515,738
551,500,516,739
552,500,516,738
553,500,516,737
554,500,516,738
555,500,515,738
556,500,515,739
557,500,516,739
558,500,515,738
559,501,515,737
560,500,515,738
561,500,515,738
562,501,516,738
563,500,515,738
564,500,515,738
565,500,516,738
566,500,515,739
567,501,516,738
568,500,515,739
569,500,516,738
570,500,516,739
571,500,516,738
572,500,515,739
573,500,515,738
574,500,516,738
575,500,516,737
576,500,515,738
577,500,516,739
578,500,516,738
579,500,515,738
580,500,516,738
581,500,516,738
582,501,516,738
583,500,515,738
584,501,515,738
585,500,516,737
586,499,515,738
587,502,515,738
588,502,516,738
589,498,516,738
590,500,516,738
591,501,516,738
592,500,516,738
593,500,516,739
594,501,515,738
595,501,515,738
596,501,515,738
597,501,514,739
598,502,515,738
599,501,516,738
600,501,516,738
601,502,516,738
602,500,515,738
603,501,515,739
604,501,515,738
605,501,516,739
606,501,515,739
607,501,515,738
608,501,516,737
609,504,515,739
610,500,516,741
611,501,517,740
612,504,522,746
613,497,530,740
614,499,523,730
615,496,532,735
616,503,539,740
617,501,536,738
618,495,541,740
619,498,550,733
620,499,556,737
621,497,556,737
622,497,558,728
623,499,563,735
624,499,571,731
625,502,576,731
626,498,578,725
627,501,587,729
628,497,599,718
629,498,598,720
630,500,607,718
631,498,612,714
