Steps,array0,array1,array2
1,498,515,739
2,500,516,738
3,498,515,737
4,499,515,738
5,499,516,738
6,499,515,739
7,498,515,738
8,498,515,737
9,498,516,738
10,499,515,738
11,499,516,738
12,499,515,738
13,499,515,737
14,499,516,739
15,499,515,740
16,498,516,737
17,499,515,737
18,498,516,738
19,499,516,738
20,499,515,740
21,499,515,739
22,499,515,738
23,498,515,739
24,502,514,738
25,504,524,739
26,500,516,738
27,500,516,738
28,500,515,737
29,498,511,738
30,500,517,739
31,497,514,737
32,495,521,738
33,501,510,740
34,498,522,739
35,505,499,739
36,493,518,748
37,495,519,743
38,495,520,731
39,493,520,727
40,489,518,738
41,492,523,734
42,495,516,737
43,498,532,735
44,499,524,734
45,495,521,738
46,497,521,737
47,496,518,740
48,495,533,741
49,499,520,738
50,493,525,739
51,497,514,738
52,497,523,737
53,499,520,737
54,498,519,737
55,499,519,738
56,499,525,740
57,516,570,833
58,362,508,1008
59,316,476,1008
60,509,294,414
61,650,262,86
62,831,656,113
63,438,494,559
64,468,514,621
65,465,508,697
66,529,547,710
67,495,580,739
68,499,576,753
69,498,559,745
70,505,559,738
71,512,559,752
72,521,559,745
73,532,559,750
74,532,562,738
75,530,561,739
76,532,553,732
77,530,552,728
78,531,549,726
79,525,555,729
80,527,553,730
81,520,558,728
82,514,561,730
83,513,559,736
84,511,559,735
85,515,557,728
86,514,557,727
87,512,557,728
88,509,560,727
89,510,558,727
90,506,560,727
91,507,553,737
92,505,552,734
93,508,551,735
94,505,549,728
95,504,550,730
96,507,554,728
97,507,551,730
98,506,552,730
99,500,559,732
100,502,557,735
101,502,553,736
102,503,554,738
103,506,545,741
104,506,547,742
105,505,549,738
106,503,548,737
107,503,548,732
108,505,550,731
109,506,546,731
110,507,545,731
111,503,546,730
112,505,548,732
113,505,548,734
114,507,549,735
115,505,544,740
116,505,544,740
117,513,537,733
118,511,540,732
119,510,541,730
120,509,542,733
121,509,538,738
122,512,535,747
123,508,541,746
124,502,536,742
125,506,536,733
126,513,537,733
127,515,528,733
128,515,527,735
129,519,527,735
130,518,521,738
131,519,522,740
132,515,527,740
133,516,528,740
134,516,525,741
135,521,519,741
136,517,517,741
137,515,517,741
138,516,515,736
139,515,518,735
140,512,518,733
141,521,517,735
142,520,516,731
143,519,520,735
144,517,516,736
145,515,514,747
146,520,504,696
147,514,512,745
148,515,513,742
149,515,509,742
150,518,506,738
151,518,507,742
152,518,507,740
153,518,505,744
154,518,503,743
155,518,500,744
156,518,500,742
157,518,499,741
158,519,497,742
159,512,502,732
160,518,501,736
161,516,503,741
162,516,499,740
163,515,500,741
164,514,497,740
165,513,503,739
166,510,504,740
167,508,505,740
168,510,504,741
169,512,502,741
170,514,497,741
171,515,496,740
172,515,505,739
173,512,506,736
174,516,499,738
175,513,502,744
176,511,501,739
177,512,499,737
178,515,500,736
179,513,504,732
180,513,502,737
181,511,499,740
182,509,502,744
183,509,506,743
184,511,500,740
185,508,502,739
186,511,501,737
187,512,501,739
188,509,502,737
189,510,503,739
190,511,503,738
191,510,506,737
192,508,509,741
193,508,507,740
194,507,505,737
195,508,507,739
196,507,507,738
197,507,506,739
198,507,506,737
199,506,506,737
200,506,507,739
201,506,509,738
202,504,509,735
203,505,506,737
204,502,508,738
205,503,509,743
206,501,514,739
207,502,509,738
208,501,510,737
209,504,510,739
210,503,510,741
211,502,510,737
212,502,509,737
213,502,510,738
214,503,510,739
215,502,510,737
216,502,508,737
217,503,510,738
218,502,510,737
219,504,510,739
220,504,510,736
221,509,515,732
222,507,511,739
223,532,631,924
224,425,548,1008
225,289,591,1008
226,371,336,1008
227,628,319,71
228,554,405,52
229,485,494,430
230,483,516,602
231,547,491,651
232,506,531,658
233,496,590,705
234,494,588,721
235,509,569,739
236,522,554,745
237,528,558,745
238,520,583,744
239,527,580,746
240,524,570,740
241,527,560,745
242,528,558,728
243,526,559,724
244,521,568,725
245,518,560,732
246,515,559,733
247,513,564,732
248,509,565,731
249,510,565,728
250,507,562,730
251,510,552,739
252,504,554,741
253,503,556,743
254,500,559,733
255,507,556,733
256,508,557,731
257,505,560,736
258,504,560,736
259,506,557,738
260,508,550,733
261,507,554,731
