Steps,array0,array1,array2
1,497,515,738
2,498,515,738
3,497,515,739
4,498,515,737
5,498,515,738
6,497,515,739
7,498,514,737
8,499,514,739
9,498,515,738
10,498,514,739
11,498,515,738
12,498,516,738
13,495,516,737
14,498,515,738
15,498,515,738
16,498,515,742
17,499,515,739
18,499,515,737
19,499,515,737
20,498,515,739
21,499,515,739
22,498,515,738
23,499,515,738
24,499,515,738
25,499,515,738
26,499,515,738
27,498,515,738
28,499,515,738
29,499,515,738
30,498,515,738
31,498,516,738
32,498,515,739
33,498,515,738
34,499,515,738
35,498,515,738
36,503,517,739
37,500,516,739
38,498,515,737
39,499,520,739
40,498,515,738
41,500,514,738
42,499,516,738
43,499,516,738
44,499,515,738
45,501,515,738
46,499,515,739
47,501,515,740
48,500,516,737
49,500,515,740
50,499,514,739
51,499,515,738
52,498,514,737
53,498,513,738
54,501,513,739
55,505,512,740
56,495,510,745
57,503,509,747
58,503,509,741
59,500,509,749
60,502,507,756
61,511,513,749
62,502,512,744
63,489,514,721
64,474,518,730
65,480,513,732
66,531,525,720
67,442,528,711
68,441,527,710
69,508,488,749
70,507,490,744
71,485,490,744
72,489,503,736
73,483,514,732
74,491,514,739
75,501,508,740
76,518,524,731
77,516,527,722
78,506,520,738
79,499,511,738
80,503,514,732
81,496,497,756
82,507,502,730
83,508,504,731
84,516,504,735
85,517,491,748
86,509,493,743
87,502,471,763
88,520,484,731
89,509,496,721
90,501,504,714
91,530,524,763
92,502,499,733
93,510,536,730
94,504,548,732
95,509,540,736
96,504,530,724
97,507,521,736
98,511,526,744
99,513,527,732
100,509,520,747
101,504,513,734
102,505,522,737
103,503,522,738
104,502,519,742
105,503,524,746
106,500,518,741
107,497,527,739
108,496,523,734
109,492,529,733
110,490,514,736
111,495,525,744
112,494,530,733
113,491,533,737
114,490,531,731
115,501,514,741
116,471,526,742
117,478,523,742
118,497,516,739
119,496,517,739
120,508,512,737
121,506,513,732
122,478,516,737
123,476,510,738
124,501,534,746
125,509,522,735
126,509,520,733
127,499,528,740
128,492,546,735
129,496,526,735
130,499,518,736
131,526,514,739
132,517,502,744
133,515,504,737
134,515,514,732
135,520,523,727
136,518,508,745
137,509,505,742
138,504,501,740
139,491,495,748
140,482,488,755
141,598,504,775
142,1008,590,751
143,1009,387,707
144,775,378,712
145,62,332,709
146,88,399,834
147,110,472,763
148,286,589,636
149,406,557,717
150,441,518,759
151,460,518,761
152,497,540,735
153,487,544,720
154,491,537,733
155,499,530,751
156,505,532,752
157,498,532,745
158,502,534,733
159,503,531,735
160,495,532,729
161,493,526,732
162,493,525,738
163,490,528,737
164,491,529,744
165,488,530,735
166,489,527,739
167,489,525,739
168,488,526,737
169,493,525,739
170,492,528,737
171,491,526,740
172,492,524,742
173,489,523,738
174,492,523,736
175,491,525,734
176,491,523,736
177,492,523,737
178,487,513,760
179,489,516,746
180,492,520,742
181,492,518,744
182,493,521,738
183,493,521,744
184,497,521,739
185,499,530,739
186,501,530,731
187,495,527,729
188,496,526,735
189,496,527,734
190,495,525,738
191,496,523,740
192,497,523,741
193,500,525,740
194,495,527,737
195,503,527,738
196,505,527,736
197,501,522,744
198,504,526,737
199,505,523,737
200,498,524,740
201,497,525,728
202,498,524,737
203,502,523,731
204,501,519,744
205,501,524,741
206,501,521,745
207,501,523,739
208,501,522,742
209,499,523,738
210,499,524,742
211,500,524,737
212,501,524,738
213,502,526,738
214,503,526,737
215,501,526,741
216,501,526,738
217,503,527,742
218,499,527,736
219,500,527,738
220,500,527,735
221,501,529,731
222,502,528,735
223,500,526,737
224,499,524,739
225,497,528,737
226,500,528,735
227,499,528,734
228,500,526,739
229,501,527,735
230,499,526,739
231,500,526,736
232,500,526,739
233,501,526,736
234,501,524,738
235,500,524,740
236,502,525,737
237,499,523,739
238,498,523,735
239,499,520,737
240,496,518,745
241,493,519,740
242,486,518,743
243,740,607,783
244,1008,810,803
245,1008,424,588
246,144,42,1007
247,223,156,1007
248,229,576,418
249,123,547,687
250,203,516,743
251,393,520,755
252,441,536,705
253,467,541,700
254,490,515,739
255,496,513,746
256,486,512,739
257,495,525,749
258,494,529,737
259,486,531,739
260,487,533,737
261,487,525,743
262,484,524,740
263,478,524,733
264,467,595,744
265,484,529,747
266,493,528,741
267,491,525,731
268,492,535,720
269,450,552,744
270,481,526,739
271,480,522,740
272,495,521,748
273,505,527,732
274,510,528,729
275,512,522,740
276,503,529,732
277,491,523,735
278,485,531,744
279,483,533,734
280,492,532,736
281,502,520,740
282,496,519,740
283,495,519,737
284,500,523,735
285,504,522,736
286,500,525,735
287,495,521,739
288,493,522,740
289,500,519,738
290,503,520,737
291,498,522,736
