Steps,array0,array1,array2
1,498,516,739
2,500,515,738
3,498,515,738
4,499,515,739
5,498,516,738
6,500,515,738
7,500,516,739
8,500,516,738
9,499,515,737
10,499,516,738
11,499,515,738
12,500,515,739
13,499,516,738
14,499,515,738
15,499,516,738
16,499,516,739
17,499,515,738
18,499,516,738
19,499,516,738
20,499,515,739
21,499,515,738
22,499,516,738
23,500,515,738
24,500,515,739
25,499,515,738
26,499,515,738
27,499,515,738
28,499,515,737
29,500,516,738
30,499,516,739
31,500,515,738
32,499,516,739
33,500,516,738
34,500,516,737
35,499,515,738
36,500,515,738
37,500,515,738
38,493,517,739
39,484,522,734
40,484,518,737
41,498,510,737
42,499,510,739
43,497,502,740
44,496,514,736
45,505,507,737
46,506,507,737
47,501,506,739
48,499,509,738
49,500,516,738
50,499,513,738
51,487,511,734
52,497,520,748
53,509,516,732
54,500,533,742
55,513,520,739
56,491,513,743
57,497,551,728
58,494,525,721
59,497,523,738
60,498,516,738
61,500,517,739
62,502,519,739
63,500,518,741
64,497,523,742
65,506,519,742
66,478,517,761
67,507,501,770
68,516,503,768
69,513,503,762
70,508,524,741
71,517,526,743
72,510,521,752
73,519,532,737
74,496,513,748
75,493,522,724
76,492,523,738
77,493,523,730
78,495,530,739
79,492,530,729
80,491,526,731
81,485,522,732
82,489,523,721
83,496,533,735
84,497,528,729
85,501,533,735
86,504,534,732
87,500,536,741
88,494,519,730
89,497,524,725
90,495,523,734
91,489,521,740
92,494,516,739
93,496,525,734
94,500,528,731
95,500,527,726
96,499,526,731
97,496,520,738
98,500,527,740
99,503,527,721
100,499,517,745
101,495,519,739
102,493,517,741
103,490,521,737
104,493,521,733
105,496,527,737
106,496,525,737
107,494,521,741
108,493,515,735
109,490,516,739
110,491,519,736
111,490,514,738
112,485,522,744
113,490,515,741
114,486,522,737
115,494,521,740
116,492,521,739
117,490,530,732
118,485,525,743
119,489,523,740
120,488,524,736
121,488,529,735
122,489,528,735
123,489,530,734
124,495,532,733
125,492,531,740
126,490,530,735
127,492,532,736
128,493,530,737
129,493,532,739
130,493,531,735
131,493,529,740
132,494,527,739
133,492,527,740
134,493,527,741
135,477,533,773
136,479,599,821
137,491,673,783
138,481,730,742
139,483,750,764
140,476,858,695
141,496,833,611
142,472,454,651
143,414,119,408
144,499,15,915
145,562,350,893
146,515,457,702
147,528,459,724
148,482,471,725
149,516,496,718
150,494,501,736
151,485,483,751
152,487,490,730
153,487,484,748
154,493,488,751
155,494,486,746
156,496,490,734
157,489,488,740
158,496,486,741
159,487,489,729
160,487,489,735
161,485,495,728
162,488,494,725
163,490,492,737
164,493,488,741
165,488,486,740
166,490,487,738
167,486,489,739
168,486,489,737
169,485,492,736
170,490,491,737
171,487,491,736
172,488,492,734
173,488,491,735
174,487,491,736
175,488,489,744
176,485,495,737
177,485,491,741
178,485,490,739
179,483,490,735
180,484,492,731
181,488,486,737
182,487,482,740
183,488,479,744
184,495,480,749
185,488,484,737
186,486,482,735
187,481,492,730
188,480,488,734
189,480,488,734
190,487,487,735
191,476,499,733
192,475,500,732
193,489,490,745
194,482,503,736
195,481,495,741
196,488,502,737
197,479,498,733
198,485,508,737
199,475,501,734
200,475,510,734
201,480,518,731
202,468,506,735
203,477,517,731
204,479,516,726
205,466,511,743
206,481,520,724
207,480,518,727
208,460,517,730
209,484,522,726
210,475,519,727
211,488,520,735
212,473,515,738
213,467,517,737
214,488,523,742
215,472,519,738
216,476,518,737
217,486,521,738
218,478,519,737
219,481,518,739
220,479,520,745
221,476,513,741
222,482,518,745
223,475,520,732
224,480,522,744
225,480,521,740
226,476,517,736
227,471,519,736
228,474,520,733
229,479,518,732
230,483,517,738
231,483,516,735
232,485,513,739
233,484,515,740
234,486,511,739
235,485,511,742
236,487,513,739
237,485,510,740
238,490,515,735
239,483,515,741
240,486,516,740
241,486,519,737
242,483,515,741
243,490,517,740
244,489,515,742
245,488,518,741
246,491,518,739
247,486,518,734
248,489,516,740
249,487,513,738
250,490,515,738
251,490,513,738
252,491,515,737
253,492,516,734
254,490,514,737
255,487,517,735
256,486,513,737
257,489,514,736
258,486,513,738
259,490,511,739
260,490,514,740
261,491,534,742
262,491,548,763
263,485,599,803
264,470,755,886
265,380,877,912
266,493,955,696
267,454,612,644
268,423,462,555
269,359,10,547
270,637,238,844
271,598,368,976
272,393,439,694
273,456,464,656
274,503,465,685
275,522,462,737
276,487,478,740
277,480,484,740
278,450,483,764
279,476,483,762
280,483,485,763
281,494,494,741
282,490,491,738
283,489,494,733
284,489,492,737
285,491,493,730
286,491,496,728
287,489,498,730
288,490,496,738
289,489,498,738
290,485,494,740
291,490,496,733
292,489,494,735
293,491,495,737
294,478,495,737
295,478,495,741
296,486,498,734
297,488,494,732
298,488,493,733
299,485,493,740
300,485,491,739
301,490,490,739
302,488,491,733
303,499,481,750
304,493,486,741
305,489,486,742
306,497,487,742
307,493,481,743
308,484,476,749
309,483,493,720
310,480,487,727
311,490,488,739
312,489,489,736
313,489,488,734
314,488,493,736
315,487,492,733
316,482,502,726
317,495,498,741
318,490,501,731
319,495,493,734
320,498,499,744
321,502,503,720
322,490,499,725
323,494,505,737
324,502,497,731
325,490,511,731
326,497,515,726
327,475,515,727
328,485,513,734
329,479,515,733
330,480,524,733
331,488,532,744
332,491,522,730
333,499,527,738
334,504,526,746
335,500,522,741
336,504,531,734
337,498,528,738
338,499,530,737
339,497,526,736
340,494,527,740
341,494,532,732
342,490,531,732
343,485,532,741
344,485,534,738
345,487,532,745
346,488,535,745
347,487,539,731
348,484,526,744
349,485,526,739
350,487,524,745
351,489,524,740
352,489,522,742
353,488,524,738
354,490,523,738
355,486,523,736
356,490,524,736
357,486,524,734
358,492,522,738
359,488,523,734
360,491,526,736
361,489,526,736
362,489,525,739
363,492,525,739
364,490,525,738
365,489,524,738
366,492,525,736
367,491,521,741
368,491,524,741
369,489,525,739
370,489,527,737
371,489,526,734
372,491,527,736
373,490,524,737
374,492,525,736
375,489,524,736
376,488,525,739
377,488,524,739
378,491,524,741
379,491,528,735
380,489,527,734
381,490,528,734
382,490,528,736
383,492,525,739
384,491,522,741
385,490,522,741
386,492,522,740
387,494,524,736
388,491,525,738
389,490,528,734
390,494,529,737
391,493,529,738
392,493,527,738
393,492,527,736
394,492,526,740
395,492,526,738
396,493,525,736
397,492,526,737
398,490,529,735
399,490,524,740
400,491,528,738
401,491,528,735
402,491,526,738
403,492,527,735
404,492,526,738
405,491,528,736
406,493,528,739
407,491,526,737
408,490,527,737
409,491,526,737
410,493,526,738
411,491,525,739
412,492,526,737
413,492,528,736
414,492,527,738
415,490,527,737
416,490,528,737
417,492,527,737
418,489,526,737
419,493,526,737
420,492,527,735
421,491,527,736
422,489,526,738
423,492,526,739
424,491,527,737
425,490,527,738
426,491,526,738
427,492,526,738
428,491,526,739
429,492,526,736
430,492,525,737
431,492,526,736
432,492,526,737
433,488,525,734
434,486,522,737
435,482,524,739
436,497,524,735
437,507,524,736
438,569,521,747
439,699,544,765
440,844,575,824
441,912,574,791
442,672,510,603
443,429,450,657
444,63,350,846
445,153,337,903
446,313,453,817
447,357,533,731
448,389,550,697
449,432,540,717
450,449,535,715
451,459,527,738
452,473,533,725
453,476,531,726
454,481,533,739
455,487,527,751
456,491,521,751
457,494,524,742
458,501,523,739
459,503,523,743
460,501,523,738
461,498,523,740
462,497,525,737
463,497,524,733
464,492,523,739
465,491,523,738
466,489,524,735
467,491,524,735
468,491,521,742
469,492,524,739
470,491,524,737
471,489,521,736
472,487,520,740
473,482,519,731
474,485,516,730
475,483,513,740
476,488,516,744
477,490,521,738
478,492,521,738
479,490,527,729
480,487,527,731
481,490,518,740
482,493,525,737
483,496,523,736
484,497,523,737
485,498,520,736
486,499,518,733
487,499,519,743
488,497,520,740
489,504,520,737
490,497,520,741
491,494,523,733
492,494,519,740
493,496,521,737
494,494,518,741
495,497,519,741
496,499,521,735
497,500,518,740
498,499,519,741
499,496,522,731
500,495,517,742
501,498,515,743
502,498,514,742
503,495,517,736
504,496,517,739
505,498,517,733
506,501,517,741
507,500,517,740
508,500,516,741
509,502,515,738
510,500,513,742
511,501,517,740
512,492,513,741
513,499,516,738
514,499,519,732
515,502,517,742
516,501,515,742
517,501,515,739
518,500,517,739
519,498,516,735
520,491,512,739
521,496,513,741
522,500,517,744
523,504,520,740
524,497,519,736
525,496,519,735
526,499,519,734
527,499,516,740
528,501,517,741
529,502,517,737
530,502,518,733
531,499,515,734
532,502,518,739
533,500,520,735
534,501,516,740
535,498,517,737
536,499,516,741
537,498,517,738
538,499,516,741
539,495,520,735
540,500,519,734
541,499,520,736
542,501,522,735
543,497,519,737
544,495,517,743
545,493,519,743
546,494,520,738
547,493,520,738
548,491,519,740
549,493,520,740
550,493,520,737
551,496,520,736
552,494,520,735
553,496,520,738
554,490,519,739
555,493,518,741
556,492,521,738
557,491,521,738
558,492,520,738
559,491,523,735
560,492,521,739
561,491,521,737
562,493,522,739
563,491,522,737
564,491,521,739
565,489,521,738
566,492,521,737
567,492,521,735
568,493,521,738
569,490,520,738
570,492,520,739
571,492,521,738
572,491,520,738
573,490,521,736
574,489,520,737
575,480,530,732
576,476,524,735
577,475,517,737
578,480,508,742
579,588,568,755
580,1003,521,765
581,1008,520,980
582,504,359,517
583,201,301,822
584,145,415,936
585,290,590,658
586,296,593,667
587,355,562,667
588,405,523,733
589,417,524,738
590,429,533,735
591,457,527,731
592,468,530,735
593,475,529,742
594,480,527,748
595,483,525,750
596,483,523,744
597,493,522,741
598,495,520,743
599,503,519,743
600,502,524,737
601,495,523,738
602,495,522,740
603,493,525,735
604,495,523,735
605,493,524,733
606,492,523,736
607,492,524,736
608,490,523,742
609,487,523,738
610,487,520,742
611,483,526,738
612,490,520,740
613,487,522,743
614,487,521,737
615,485,525,733
616,480,524,736
617,485,523,731
618,486,523,737
619,483,521,737
620,486,521,738
621,484,521,734
622,489,517,737
623,488,520,739
624,491,516,742
625,488,516,742
626,486,517,738
627,494,519,738
628,489,519,735
629,489,519,733
630,492,512,736
631,497,515,736
632,497,519,737
633,498,518,742
634,502,518,742
635,499,518,741
636,500,519,739
637,504,519,738
638,503,521,736
639,499,517,740
640,502,518,740
641,501,516,738
642,498,518,740
643,499,517,739
644,499,516,738
645,499,520,738
646,500,518,738
647,502,517,739
648,502,518,736
649,501,517,738
650,500,518,739
651,500,519,738
652,501,520,737
653,499,518,739
654,500,516,739
655,500,518,738
656,498,519,734
657,502,516,740
658,494,518,735
659,495,517,735
660,494,519,738
661,500,521,737
662,501,523,737
663,501,523,737
664,504,519,740
665,506,522,737
666,504,522,737
667,503,523,738
668,502,523,739
669,503,524,738
670,505,522,738
671,503,520,739
672,500,521,741
673,497,520,737
674,499,522,738
675,495,520,738
676,495,522,734
677,494,522,735
678,493,520,737
679,494,521,735
680,495,519,741
681,495,522,735
682,497,519,742
683,495,522,739
684,496,522,737
685,497,524,739
686,499,524,736
687,483,522,737
688,490,522,741
689,492,519,740
690,490,524,740
691,491,525,737
692,488,525,736
693,492,525,737
694,491,525,737
695,490,523,740
696,486,525,740
697,491,525,733
698,491,523,737
699,489,524,734
700,486,527,734
701,486,526,734
702,484,526,729
703,487,525,735
704,482,523,734
705,480,520,738
706,482,525,741
707,482,523,736
708,485,523,732
709,486,517,745
710,490,517,741
711,490,522,736
712,489,522,735
713,489,523,735
714,494,522,739
715,494,521,729
716,494,520,734
717,495,518,739
718,485,517,738
719,488,516,738
720,497,514,737
721,498,515,737
722,501,517,733
723,495,514,740
724,487,513,743
725,487,515,740
