Steps,array0
1,164
2,199
3,183
4,162
5,164
6,212
7,197
8,167
9,167
10,209
11,213
12,174
13,167
14,180
15,219
16,167
17,169
18,207
19,345
20,304
21,203
22,266
23,350
24,321
25,182
26,183
27,303
28,235
29,165
30,174
31,330
32,322
33,165
34,155
35,234
36,318
37,189
38,155
39,308
40,312
41,213
42,147
43,257
44,313
45,248
46,147
47,141
48,310
49,280
50,148
51,196
52,305
53,303
54,142
55,163
56,293
57,304
58,143
59,139
60,278
61,303
62,144
63,137
64,303
65,306
66,147
67,139
68,295
69,302
70,160
71,142
72,146
73,301
74,256
75,138
76,264
77,302
78,285
79,145
80,236
81,288
82,301
83,149
84,140
85,305
86,301
87,153
88,138
89,297
90,300
91,152
92,138
93,243
94,301
95,150
96,143
97,282
98,302
99,176
100,143
101,268
102,305
103,208
104,141
105,137
106,302
107,240
108,153
109,221
110,301
111,272
112,141
113,191
114,270
115,300
116,152
117,138
118,257
119,301
120,231
121,139
122,302
123,300
124,160
125,138
126,199
127,304
128,185
129,136
130,168
131,305
132,222
133,138
134,239
135,307
136,256
137,141
138,135
139,304
140,284
141,139
142,139
143,295
144,302
145,138
146,150
147,247
148,304
149,142
150,136
151,221
152,302
153,142
154,143
155,299
156,302
157,198
158,133
159,293
160,304
161,232
162,139
163,134
164,306
165,271
166,135
167,132
168,312
169,302
170,139
171,166
172,309
173,312
174,141
175,134
176,296
177,1017
178,1017
179,1018
180,1017
181,1018
182,1018
183,778
184,880
185,942
186,740
187,727
188,712
189,863
190,688
191,627
192,766
193,1018
194,1018
195,1017
196,1018
197,1018
198,1017
199,1018
200,1018
201,971
202,990
203,819
204,748
205,900
206,900
207,692
208,676
209,798
210,824
211,737
212,602
213,688
214,759
215,564
216,527
217,582
218,695
219,541
220,476
221,481
222,636
223,520
224,415
225,397
226,1017
227,1017
228,1018
229,1018
230,1018
231,980
232,778
233,767
234,895
235,908
236,690
237,682
238,791
239,827
240,622
241,587
242,672
243,755
244,577
245,523
246,558
247,689
248,674
249,454
250,574
251,634
252,534
253,397
254,387
255,574
256,515
257,347
258,339
259,512
260,503
261,292
262,308
263,458
264,449
265,254
266,255
267,350
268,418
269,373
270,223
271,393
272,387
273,202
274,196
275,221
276,366
277,276
278,179
279,178
280,349
281,345
282,168
283,165
284,329
285,320
286,166
287,160
288,322
289,323
290,172
291,156
292,303
293,322
294,205
295,150
296,280
297,319
298,146
299,143
300,249
301,321
302,316
303,148
304,216
305,325
306,319
307,139
308,138
309,290
310,224
311,142
312,135
313,316
314,271
315,146
316,136
317,307
318,332
319,134
320,136
321,290
322,328
323,141
324,131
325,265
326,329
327,264
328,130
329,224
330,337
331,171
332,132
333,182
334,338
335,216
336,127
337,146
338,338
339,325
340,139
341,130
342,338
343,298
344,128
345,133
346,329
347,323
348,202
349,131
350,270
351,331
352,251
353,135
354,133
355,322
356,131
357,135
358,192
359,324
360,319
361,123
362,153
363,320
364,325
365,121
366,125
367,336
368,1018
369,1018
370,1018
371,1018
372,1017
373,1018
374,1017
375,1018
376,1017
377,1018
378,1018
379,1018
380,1018
381,1018
382,1017
383,905
384,955
385,950
386,756
387,817
388,881
389,1017
390,1017
391,1018
392,1018
393,1018
394,1018
395,1018
396,1018
397,1018
398,1018
399,1018
400,1018
401,1017
402,1018
403,1017
404,1018
405,1017
406,1018
407,1018
408,1018
409,1017
410,921
411,795
412,854
413,913
414,748
415,708
416,743
417,848
418,832
419,635
420,636
421,735
422,761
423,559
424,545
425,714
426,655
427,528
428,486
429,641
430,630
431,498
432,420
433,429
434,575
435,480
436,366
437,443
438,507
439,467
440,319
441,358
442,466
443,452
444,271
445,264
446,418
447,342
448,342
449,227
450,392
451,389
452,215
453,203
454,260
455,369
456,199
457,197
458,342
459,349
460,206
461,175
462,312
463,337
464,302
465,163
466,160
467,321
468,323
469,165
470,241
471,327
472,324
473,165
474,151
475,295
476,322
477,165
478,149
479,270
480,321
481,158
482,149
483,300
484,320
485,179
486,152
487,286
488,326
489,222
490,151
491,146
492,323
493,257
494,152
495,232
496,319
497,290
498,148
499,194
500,278
501,315
502,147
503,141
504,260
505,316
506,250
507,135
508,232
509,314
510,172
511,142
512,194
513,311
514,206
515,143
516,160
517,315
518,243
519,142
520,231
521,314
522,281
523,144
524,136
525,306
526,310
527,204
528,159
529,309
530,313
531,241
532,142
533,278
534,313
535,148
536,143
537,196
538,313
539,307
540,146
541,295
542,308
543,172
544,142
545,138
546,304
547,274
548,144
549,143
550,294
551,295
552,151
553,172
554,295
555,297
556,152
557,142
558,279
559,299
560,149
561,144
562,262
563,299
564,292
565,142
566,301
567,312
568,146
569,133
570,201
571,339
572,178
573,111
574,124
575,371
576,248
577,111
578,123
579,372
580,322
581,104
582,122
583,365
584,391
585,213
586,168
587,430
588,405
589,117
590,132
591,309
592,411
593,154
594,117
595,236
596,426
597,425
598,113
599,378
600,460
601,316
602,131
603,141
604,473
605,389
606,111
607,143
608,473
609,446
610,119
611,190
612,469
613,449
614,117
615,141
616,442
617,451
618,400
619,141
620,264
621,488
622,448
623,156
624,200
625,473
626,337
627,121
628,157
629,479
630,412
631,121
632,156
633,469
634,462
635,155
636,162
637,488
638,461
639,153
640,157
641,455
642,462
643,278
644,147
645,395
646,471
647,145
648,163
649,332
650,476
651,212
652,157
653,252
654,494
655,472
656,151
657,395
658,500
659,374
660,143
661,157
662,461
663,438
664,204
665,149
666,436
667,491
668,287
669,149
670,391
671,468
672,142
673,139
674,324
675,468
676,436
677,131
678,239
679,499
680,290
681,150
682,177
683,509
684,377
685,119
686,153
687,507
688,472
689,129
690,157
691,243
692,480
693,128
694,145
695,482
696,475
697,381
698,148
699,322
700,512
701,448
702,148
703,239
704,486
705,169
706,157
707,177
708,494
709,474
710,124
711,159
712,491
713,478
714,138
715,164
716,368
717,484
718,181
719,166
720,484
721,480
722,260
723,155
724,433
725,489
726,342
727,148
728,356
729,481
730,193
731,149
732,280
733,499
734,481
735,153
736,204
737,422
738,357
739,146
740,159
741,511
742,430
743,187
744,156
745,446
746,495
747,271
748,148
749,191
750,510
751,365
752,145
753,338
754,474
755,434
756,133
757,249
758,505
759,476
760,128
761,149
762,499
763,384
764,125
765,158
766,524
767,487
768,133
769,161
770,248
771,495
772,304
773,129
774,176
775,493
776,404
777,148
778,454
779,507
780,490
781,155
782,161
783,540
784,491
785,166
786,195
787,483
788,438
789,158
790,183
791,379
792,399
793,156
794,184
795,286
796,360
797,208
798,182
799,304
800,336
801,239
802,219
803,247
804,259
805,230
806,196
807,194
808,237
