Steps,array0
1,207
2,184
3,220
4,235
5,232
6,182
7,184
8,233
9,231
10,181
11,202
12,235
13,231
14,180
15,182
16,227
17,231
18,179
19,179
20,220
21,232
22,211
23,183
24,234
25,234
26,230
27,171
28,226
29,329
30,210
31,174
32,197
33,325
34,225
35,157
36,270
37,320
38,247
39,152
40,151
41,302
42,272
43,148
44,147
45,291
46,306
47,145
48,189
49,278
50,305
51,149
52,162
53,264
54,305
55,148
56,139
57,243
58,304
59,152
60,144
61,290
62,309
63,170
64,142
65,192
66,312
67,199
68,151
69,270
70,307
71,227
72,143
73,247
74,312
75,253
76,143
77,142
78,291
79,279
80,140
81,141
82,310
83,305
84,142
85,171
86,271
87,306
88,148
89,139
90,254
91,307
92,149
93,142
94,311
95,305
96,162
97,142
98,200
99,310
100,186
101,137
102,173
103,313
104,217
105,142
106,255
107,314
108,246
109,142
110,139
111,316
112,272
113,157
114,141
115,307
116,294
117,138
118,177
119,273
120,306
121,135
122,139
123,259
124,307
125,138
126,142
127,315
128,307
129,156
130,138
131,209
132,307
133,177
134,140
135,181
136,308
137,203
138,133
139,158
140,306
141,237
142,142
143,240
144,315
145,265
146,140
147,137
148,312
149,288
150,138
151,184
152,308
153,305
154,135
155,160
156,265
157,307
158,136
159,141
160,243
161,307
162,260
163,142
164,313
165,306
166,169
167,137
168,189
169,308
170,195
171,135
172,164
173,308
174,225
175,141
176,247
177,315
178,256
179,142
180,138
181,313
182,279
183,137
184,139
185,308
186,302
187,136
188,166
189,303
190,304
191,136
192,141
193,292
194,304
195,251
196,142
197,227
198,308
199,137
200,139
201,197
202,307
203,140
204,142
205,172
206,307
207,216
208,133
209,294
210,308
211,246
212,142
213,231
214,314
215,274
216,143
217,139
218,309
219,295
220,140
221,140
222,304
223,303
224,136
225,152
226,296
227,303
228,137
229,141
230,281
231,305
232,138
233,139
234,203
235,310
236,140
237,140
238,177
239,306
240,148
241,147
242,156
243,307
244,240
245,138
246,282
247,306
248,268
249,143
250,139
251,300
252,290
253,140
254,141
255,309
256,303
257,147
258,156
259,296
260,303
261,148
262,142
263,282
264,303
265,267
266,138
267,267
268,304
269,139
270,140
271,242
272,305
273,147
274,149
275,159
276,305
277,298
278,152
279,143
280,296
281,194
282,183
