Steps,array0
1,319
2,196
3,176
4,213
5,317
6,310
7,160
8,276
9,305
10,234
11,157
12,157
13,294
14,299
15,158
16,154
17,281
18,296
19,176
20,188
21,268
22,291
23,153
24,148
25,255
26,288
27,226
28,147
29,233
30,281
31,157
32,147
33,209
34,291
35,176
36,147
37,185
38,293
39,286
40,151
41,162
42,251
43,225
44,146
45,145
46,292
47,251
48,156
49,147
50,272
51,290
52,175
53,145
54,261
55,287
56,145
57,147
58,249
59,287
60,151
61,146
62,229
63,288
64,254
65,146
66,201
67,287
68,180
69,145
70,177
71,294
72,205
73,140
74,154
75,296
76,288
77,142
78,226
79,297
80,261
81,144
82,145
83,294
84,282
85,181
86,143
87,263
88,299
89,137
90,142
91,247
92,294
93,139
94,144
95,227
96,297
97,267
98,139
99,199
100,304
101,291
102,140
103,170
104,301
105,211
106,133
107,1018
108,1017
109,1017
110,1017
111,1017
112,1018
113,1017
114,1018
115,1018
116,1018
117,1017
118,912
119,813
120,947
121,939
122,829
123,1018
124,1018
125,1018
126,1017
127,1018
128,1018
129,1018
130,1018
131,1018
132,1018
133,1017
134,1018
135,1018
136,1018
137,1017
138,1017
139,1018
140,1018
141,1017
142,972
143,844
144,816
145,938
146,926
147,748
148,735
149,864
150,835
151,1018
152,1017
153,1017
154,1017
155,1018
156,1017
157,1018
158,1019
159,1018
160,1018
161,1017
162,998
163,827
164,825
165,837
166,923
167,904
168,744
169,729
170,838
171,694
172,649
173,637
174,765
175,710
176,584
177,569
178,693
179,686
180,520
181,507
182,625
183,615
184,462
185,449
186,569
187,558
188,436
189,394
190,500
191,513
192,412
193,335
194,433
195,457
196,302
197,298
198,369
199,419
200,411
201,267
202,310
203,375
204,381
205,239
206,224
207,366
208,273
209,214
210,203
211,336
212,339
213,197
214,190
215,318
216,328
217,180
218,180
219,301
220,315
221,211
222,171
223,283
224,309
225,232
226,164
227,260
228,300
229,251
230,160
231,233
232,305
233,174
234,157
235,206
236,305
237,299
238,160
239,180
240,306
241,224
242,153
243,152
244,303
245,249
246,157
247,153
248,283
249,295
250,177
