Steps,array0
1,178
2,172
3,195
4,244
5,180
6,91
7,257
8,262
9,113
10,111
11,141
12,279
13,204
14,122
15,265
16,286
17,245
18,136
19,253
20,286
21,271
22,141
23,181
24,289
25,293
26,146
27,158
28,294
29,295
30,153
31,141
32,294
33,296
34,146
35,139
36,255
37,298
38,149
39,141
40,283
41,298
42,156
43,142
44,282
45,302
46,180
47,144
48,139
49,296
50,156
51,143
52,250
53,299
54,288
55,149
56,226
57,282
58,295
59,154
60,144
61,303
62,189
63,156
64,141
65,295
66,300
67,157
68,141
69,245
70,300
71,154
72,144
73,221
74,298
75,170
76,145
77,270
78,301
79,197
80,143
81,140
82,302
83,222
84,143
85,139
86,300
87,249
88,143
89,215
90,280
91,300
92,145
93,145
94,270
95,301
96,153
97,165
98,306
99,302
100,155
101,140
102,234
103,301
104,158
105,140
106,209
107,285
108,176
109,138
110,269
111,310
112,207
113,137
114,258
115,313
116,235
117,134
118,133
119,317
120,266
121,133
122,202
123,309
124,295
125,129
126,172
127,270
128,309
129,130
130,132
131,251
132,1018
133,1017
134,1017
135,1018
136,1018
137,1018
138,1017
139,1018
140,1017
141,892
142,813
143,903
144,924
145,1017
146,1017
147,1018
148,1018
149,1018
150,1017
151,1018
152,1017
153,1018
154,1018
155,1017
156,1018
157,1018
158,1017
159,1017
160,1017
161,1017
162,1017
163,1017
164,1018
165,1017
166,1018
167,813
168,968
169,960
170,783
171,756
172,784
173,885
174,770
175,687
176,685
177,813
178,730
179,612
180,724
181,741
182,693
183,549
184,533
185,677
186,651
187,488
188,474
189,608
190,600
191,434
192,418
193,540
194,539
195,367
196,347
197,465
198,485
199,319
200,311
201,344
202,443
203,282
204,261
205,397
206,402
207,264
208,230
209,228
210,372
211,326
212,212
213,316
214,346
215,331
216,191
217,275
218,323
219,331
220,182
221,172
222,311
223,322
224,200
225,164
226,314
227,316
228,170
229,154
230,267
231,311
232,162
233,153
234,238
235,308
236,169
237,151
238,282
239,308
240,192
241,149
242,146
243,309
244,219
245,158
246,146
247,293
248,243
249,162
250,225
251,284
252,302
253,150
254,148
255,275
256,302
257,197
258,146
259,305
260,302
261,221
262,143
263,244
264,300
265,161
266,146
267,218
268,302
269,173
270,145
271,269
272,303
273,201
274,143
275,169
276,304
277,228
278,144
279,142
280,300
281,254
282,161
283,211
284,277
285,280
286,142
287,185
288,264
289,299
290,144
291,143
292,252
293,299
294,234
295,141
296,230
297,300
298,163
299,142
300,204
301,299
302,185
303,142
304,179
305,304
306,302
307,141
308,249
309,306
310,242
311,144
312,138
313,305
314,271
315,165
316,138
317,301
318,292
319,140
320,172
321,293
322,302
323,138
324,140
325,243
326,304
327,248
328,142
329,219
330,306
331,144
332,138
333,193
334,302
335,196
336,138
337,165
338,304
339,304
340,138
341,283
342,304
343,254
344,141
345,136
346,309
347,282
348,142
349,136
350,304
351,304
352,199
353,160
354,296
355,306
356,135
357,137
358,284
359,307
360,137
361,138
362,213
363,311
364,138
365,134
366,183
367,309
368,143
369,135
370,157
371,311
372,235
373,133
374,134
375,313
376,266
377,134
378,132
379,310
380,293
381,136
382,133
383,314
384,311
385,142
386,135
387,318
388,318
389,144
390,136
391,291
392,316
393,133
394,132
395,275
396,317
397,298
398,138
399,1017
400,1018
401,1018
402,1017
403,1018
404,1018
405,1018
406,1018
407,1018
408,1018
409,1018
410,1018
411,1018
412,1018
413,1017
414,816
415,799
416,946
417,935
418,765
419,738
420,876
421,879
422,713
423,660
424,784
425,800
426,605
427,588
428,697
429,719
430,693
431,521
432,605
433,656
434,478
435,454
436,518
437,598
438,445
439,413
440,388
441,545
442,419
443,359
444,336
445,480
446,401
447,314
448,291
449,378
450,430
451,259
452,255
453,387
454,395
455,266
456,223
457,344
458,369
459,210
460,198
461,306
462,343
463,188
464,176
465,263
466,330
467,286
468,165
469,301
470,324
471,197
472,159
473,198
474,320
475,220
476,163
477,171
478,317
479,310
480,149
481,237
482,237
483,267
484,148
485,148
486,285
487,289
488,185
489,146
490,272
491,310
492,214
493,145
494,259
495,305
496,156
497,144
498,232
499,304
500,265
501,144
502,208
503,281
504,184
505,142
506,181
507,306
508,212
509,143
510,158
511,305
512,300
513,159
514,147
515,282
516,268
517,221
518,194
519,264
520,269
521,225
522,186
523,233
524,266
525,228
526,181
527,218
528,257
529,187
530,180
531,171
532,252
533,202
534,178
535,192
536,249
537,252
